repository,qt_commits_ev_refac,qt_commits_ev_analyzed,qt_commits_ev_floss,qt_commits_ev_pure
ace,36,30,24,6
angular.js,6,5,5,0
atom,11,11,10,1
aws-sdk-js,9,7,6,1
axios,5,5,4,1
babel,26,25,18,7
bitcoinjs-lib,2,2,2,0
bootstrap,17,16,16,0
d3,11,11,8,3
dat,12,12,9,3
director,7,7,7,0
freeCodeCamping,7,7,6,1
Ghost,24,15,15,0
Hexo,10,10,5,5
Konva,14,14,12,2
loopback,17,16,11,5
nightmare,4,4,3,1
nvd3,16,11,9,2
pm2,17,13,11,2
requirejs,7,7,5,2
async,1,1,0,1
bluebird,1,1,1,0
bowser,4,4,3,1
chancejs,1,1,1,0
charts.js,13,13,13,0
fetch,1,1,0,1
fontello,2,2,2,0
fullPage,2,2,2,0
gitbook,8,8,8,0
i18next,7,7,7,0
insomnia,5,5,5,0
intro.js,5,5,3,2
jasmine,33,31,26,5
knex,17,17,17,0
lealeft,2,2,2,0
lodash,3,3,3,0
markdown-here,1,1,1,0
node-restify,1,1,1,0
numbers,3,3,2,1
prism,3,3,3,0
pug,2,2,2,0
q,12,12,5,7
quill,4,4,2,2
socket.io,2,2,2,0
stylus,3,3,3,0
theter,1,1,1,0
underscore,1,1,1,0
webogram,10,10,10,0
zepto,5,5,1,4
bower,2,2,2,0
jshint,2,2,2,0
mocha,1,1,1,0
mustache,1,1,1,0
page,1,1,1,0
webtorrent ,6,6,6,0
whistle,3,3,3,0
summernote,14,14,12,2
terser,19,19,18,1
mermaid,13,13,12,1
react,22,22,20,2
less,19,19,15,4
paper,19,19,10,9
reveal,12,12,12,0
three,22,22,19,3
total,567,535,447,88